ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8824714,HV497859,09/30/2012 02:00:00 AM,008XX E 100TH ST,3960,INTIMIDATION,INTIMIDATION,SIDEWALK,true,false,511,5,8,50,26,1183665,1838582,2012,02/04/2016 06:33:39 AM,41.712252338,-87.602968356,"(41.712252338, -87.602968356)"
7875534,HT105993,01/05/2011 09:40:00 AM,069XX S MARSHFIELD AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,735,7,17,67,04B,1166539,1858767,2011,02/04/2016 06:33:39 AM,41.768024446,-87.665114679,"(41.768024446, -87.665114679)"
3917206,HL202436,02/25/2005 10:22:00 PM,043XX S LA SALLE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,221,2,3,37,18,1176127,1876478,2005,04/15/2016 08:55:02 AM,41.81641543,-87.629438806,"(41.81641543, -87.629438806)"
4481242,HL780237,12/09/2005 09:00:00 AM,015XX E 83RD PL,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,412,4,8,45,6,1187806,1849920,2005,04/15/2016 08:55:02 AM,41.743267622,-87.587443207,"(41.743267622, -87.587443207)"
5487519,HN308763,04/21/2007 10:00:00 PM,029XX N SPRINGFIELD AVE,820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,false,false,2523,25,30,21,6,1149882,1919211,2007,04/15/2016 08:55:02 AM,41.93422922,-87.724600341,"(41.93422922, -87.724600341)"
7285816,HR702052,12/17/2009 01:15:00 AM,006XX E 79TH ST,031A,ROBBERY,ARMED: HANDGUN,APARTMENT,false,false,624,6,6,69,3,1182065,1852773,2009,02/04/2016 06:33:39 AM,41.751231195,-87.608390232,"(41.751231195, -87.608390232)"
3255264,HK280308,04/03/2004 02:40:00 PM,113XX S STEWART AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2233,22,34,49,08B,1175647,1829804,2004,04/15/2016 08:55:02 AM,41.688347103,-87.632593988,"(41.688347103, -87.632593988)"
10336163,HY527320,12/06/2015 05:30:00 PM,087XX S STONY ISLAND AVE,860,THEFT,RETAIL THEFT,DRUG STORE,true,false,412,4,8,48,6,1188321,1847402,2015,12/13/2015 03:59:42 PM,41.736345716,-87.585636406,"(41.736345716, -87.585636406)"
4825032,HM437748,06/26/2006 09:45:00 AM,007XX W 54TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,934,9,3,61,7,1172346,1868733,2006,04/15/2016 08:55:02 AM,41.795246513,-87.643536319,"(41.795246513, -87.643536319)"
3367098,HK413755,06/07/2004 02:40:15 AM,024XX W BELLE PLAINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1912,19,47,5,14,1159426,1927156,2004,04/15/2016 08:55:02 AM,41.955839475,-87.689306803,"(41.955839475, -87.689306803)"
